language	Rank_in	percentage
it	top1	0.15915449176251165
cs	top1	0.15873512836568565
zh	top1	0.15205223880597016
nl	top1	0.18613366645846346
de	top1	0.16960564283424173
es	top1	0.16096954630205096
en	top1	0.16998135487880672
tr	top1	0.15300375469336672
it	top3	0.25147653092943734
cs	top3	0.24045084533500313
zh	top3	0.2468905472636816
nl	top3	0.25921299188007496
de	top3	0.24783584482205837
es	top3	0.254816656308266
en	top3	0.24642635177128652
tr	top3	0.2428035043804756
it	top5	0.2872241218526578
cs	top5	0.2720726361928616
zh	top5	0.25963930348258707
nl	top5	0.2901311680199875
de	top5	0.2808592497595383
es	top5	0.29863269111249224
en	top5	0.28713486637663144
tr	top5	0.2712765957446808
it	top10	0.28784581908610507
cs	top10	0.27301189730745146
zh	top10	0.2599502487562189
nl	top10	0.2901311680199875
de	top10	0.2808592497595383
es	top10	0.300497203231821
en	top10	0.2939714108141703
tr	top10	0.2715894868585732
it	not_found	0.7121541809138949
cs	not_found	0.7269881026925485
zh	not_found	0.7400497512437811
nl	not_found	0.7098688319800125
de	not_found	0.7191407502404616
es	not_found	0.699502796768179
en	not_found	0.7060285891858297
tr	not_found	0.7284105131414268
