language	Rank_in	percentage
ja	Top-1	16.893039049235995
it	Top-1	17.32473811442385
cs	Top-1	17.9518316130338
zh	Top-1	18.484176577302964
nl	Top-1	20.48948220064725
de	Top-1	19.399917796958487
es	Top-1	19.146366015703645
en	Top-1	19.834877164720098
tr	Top-1	18.346200731409997
ja	Top-3	26.6553480475382
it	Top-3	26.732473811442386
cs	Top-3	25.33900020238818
zh	Top-3	27.25257004636162
nl	Top-3	27.710355987055017
de	Top-3	26.798191533086726
es	Top-3	27.582041473726594
en	Top-3	26.98348771647201
tr	Top-3	26.635514018691588
ja	Top-5	28.94736842105263
it	Top-5	30.459307010475424
cs	Top-5	28.35458409228901
zh	Top-5	28.542632533763353
nl	Top-5	30.74433656957929
de	Top-5	29.901356350184958
es	Top-5	31.487819609422186
en	Top-5	30.386629077728553
tr	Top-5	29.418935392117024
ja	Top-10	28.94736842105263
it	Top-10	30.49959709911362
cs	Top-10	28.516494636713215
zh	Top-10	28.562789760129007
nl	Top-10	30.764563106796118
de	Top-10	29.901356350184958
es	Top-10	31.78981276424401
en	Top-10	31.131695529601288
tr	Top-10	29.439252336448597
ja	Not Found	71.05263157894737
it	Not Found	69.50040290088639
cs	Not Found	71.48350536328678
zh	Not Found	71.43721023987099
nl	Not Found	69.23543689320388
de	Not Found	70.09864364981505
es	Not Found	68.210187235756
en	Not Found	68.86830447039871
tr	Not Found	70.5607476635514
