language	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n10p	nf	grounding_failed	num_cases	total_grounding_failures	items_processed
en	756	196	76	67	26	15	4	1	0	0	0	3776	725	4917	803	27575
cs	659	200	147	118	28	14	11	3	0	0	2	3735	1690	4917	2029	32475
de	752	221	115	87	105	13	12	3	1	0	0	3608	580	4917	729	27044
es	755	231	131	86	113	31	5	3	3	0	0	3559	426	4917	510	27512
fr	751	186	157	64	48	13	6	4	0	0	0	3688	525	4917	646	28401
it	767	194	128	87	115	13	5	0	1	0	0	3607	360	4917	441	23830
ja	833	211	137	53	47	7	3	2	0	0	1	3623	2831	4917	3986	32837
nl	782	201	135	100	121	25	12	1	2	0	0	3538	1176	4917	1546	31684
tr	670	173	135	80	56	36	14	2	11	1	4	3735	2415	4917	2794	50345
zh	810	169	126	40	22	6	2	0	0	1	0	3741	3363	4917	4373	27309
