Disease Name	Most General MONDO ID	Most General Label
13q deletion syndrome	MONDO:0012774	chromosome 15q13.3 microdeletion syndrome
15q Duplication Syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q duplication syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q11-q13 Duplication Syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q11.2 Duplication Syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q11.2-13.1 duplication syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q11.2-q13.1 duplication syndrome	MONDO:0012081	15q11q13 microduplication syndrome
15q13.3 microdeletion syndrome	MONDO:0012774	chromosome 15q13.3 microdeletion syndrome
16p11.2 Deletion Syndrome	MONDO:0012756	proximal 16p11.2 microdeletion syndrome
16p11.2 Duplication Syndrome	MONDO:0013847	chromosome 16p11.2 duplication syndrome
16p11.2 Microdeletion Syndrome	MONDO:0016836	16p13.11 microdeletion syndrome
16p11.2 deletion syndrome	MONDO:0012756	proximal 16p11.2 microdeletion syndrome
16p11.2 duplication syndrome	MONDO:0013847	chromosome 16p11.2 duplication syndrome
16p11.2 microdeletion syndrome	MONDO:0016836	16p13.11 microdeletion syndrome
16p11.2 microduplication syndrome	MONDO:0016834	16p11.2p12.2 microduplication syndrome
17q12 microdeletion syndrome	MONDO:0013797	chromosome 17q12 deletion syndrome
18q- deletion syndrome	MONDO:0011147	chromosome 18q deletion syndrome
1\. Kabuki syndrome	MONDO:0016512	Kabuki syndrome
1p36 Deletion Syndrome	MONDO:0011929	chromosome 1p36 deletion syndrome
1p36 Deletion syndrome	MONDO:0011929	chromosome 1p36 deletion syndrome
1p36 deletion syndrome	MONDO:0011929	chromosome 1p36 deletion syndrome
1q21.1 Microdeletion Syndrome	MONDO:0012914	chromosome 1q21.1 deletion syndrome
1q21.1 deletion syndrome	MONDO:0017334	12q15q21.1 microdeletion syndrome
1q21.1 microdeletion syndrome	MONDO:0012914	chromosome 1q21.1 deletion syndrome
1q43q44 deletion syndrome	MONDO:0012927	chromosome 1q41-q42 deletion syndrome
2-Hydroxyglutaric Aciduria	MONDO:0016001	2-hydroxyglutaric aciduria
22q11.2 Deletion Syndrome	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 Deletion Syndrome (DiGeorge Syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 Deletion Syndrome (DiGeorge syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 Deletion syndrome	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 Deletion syndrome (DiGeorge syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 deletion syndrome	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 deletion syndrome (DiGeorge syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 deletion syndrome (DiGeorge syndrome/Velocardiofacial syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 deletion syndrome (DiGeorge syndrome/velocardiofacial syndrome)	MONDO:0018923	22q11.2 deletion syndrome
22q11.2 deletion syndrome (Velocardiofacial syndrome)	MONDO:0008644	velocardiofacial syndrome
22q11.2 deletion syndrome (velocardiofacial syndrome)	MONDO:0008644	velocardiofacial syndrome
22q11.2 duplication syndrome	MONDO:0012020	chromosome 22q11.2 microduplication syndrome
2\. 1p36 deletion syndrome	MONDO:0012916	chromosome 2p16.1-p15 deletion syndrome
2p15p16.1 microdeletion syndrome	MONDO:0012916	chromosome 2p16.1-p15 deletion syndrome
2q23.1 Microdeletion Syndrome	MONDO:0016459	2q23.1 microdeletion syndrome
2q23.1 deletion syndrome	MONDO:0016652	2q31.1 microdeletion syndrome
2q23.1 microdeletion syndrome	MONDO:0016459	2q23.1 microdeletion syndrome
2q33.1 deletion syndrome	MONDO:0012864	chromosome 2q32-q33 deletion syndrome
3-M syndrome	MONDO:0007477	3-M syndrome
