rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Stickler syndrome	MONDO:0019354	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
2	Williams syndrome	MONDO:0008678	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
3	Fragile X syndrome	MONDO:0010383	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
4	Sotos syndrome	MONDO:0019349	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
5	Mowat-Wilson syndrome	MONDO:0009341	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
6	Angelman syndrome	MONDO:0007113	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
7	22q11.2 deletion syndrome	MONDO:0018923	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
7	22q11.2 deletion syndrome	MONDO:0008564	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
8	Noonan syndrome	MONDO:0008104	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
8	Noonan syndrome	MONDO:0018997	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
9	Chromosomal microdeletion syndrome	MONDO:0012774	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
10	Joubert syndrome	MONDO:0018772	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
10	Joubert syndrome	MONDO:0008944	('OMIM:617140', 'ZTTK SYNDROME')	0.0	False
