rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Acrocallosal syndrome	MONDO:0008708	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
2	Zellweger spectrum disorders	MONDO:0019609	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
2	Zellweger spectrum disorders	MONDO:0019234	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
3	Joubert syndrome	MONDO:0018772	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
3	Joubert syndrome	MONDO:0008944	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
4	Greig cephalopolysyndactyly syndrome	MONDO:0008287	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
5	Pallister-Hall syndrome	MONDO:0007804	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
6	Carpenter syndrome	MONDO:0019012	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
6	Carpenter syndrome	MONDO:0008710	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
7	Bardet-Biedl syndrome	MONDO:0015229	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
7	Bardet-Biedl syndrome	MONDO:0014432	('OMIM:617527', 'Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies')	0.0	False
