rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Noonan Syndrome	MONDO:0008104	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
1	Noonan Syndrome	MONDO:0018997	('OMIM:609942', 'Noonan syndrome 3')	0.5	True
2	Aarskog Syndrome	MONDO:0021005	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
2	Aarskog Syndrome	MONDO:0007030	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
2	Aarskog Syndrome	MONDO:0010589	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
3	LEOPARD Syndrome	MONDO:0007893	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
4	Multiple Pterygium Syndrome	MONDO:0017415	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
4	Multiple Pterygium Syndrome	MONDO:0009926	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
5	Kabuki Syndrome	MONDO:0016512	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
5	Kabuki Syndrome	MONDO:0007843	('OMIM:609942', 'Noonan syndrome 3')	0.0	False
