rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Autism Spectrum Disorder	MONDO:0005258	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
1	Autism Spectrum Disorder	MONDO:0005260	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
2	Developmental Language Disorder	MONDO:0010821	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
3	Hearing Impairment	MONDO:0005365	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
4	Fragile X Syndrome	MONDO:0010383	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
5	Landau-Kleffner Syndrome	MONDO:0009509	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
6	Rett Syndrome	MONDO:0010726	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
7	Down Syndrome	MONDO:0008608	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
8	Angelman Syndrome	MONDO:0007113	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
9	Williams Syndrome	MONDO:0008678	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
10	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
