rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Pelizaeus-Merzbacher disease	MONDO:0010714	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
2	Hereditary spastic paraplegia	MONDO:0019064	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
3	Krabbe disease	MONDO:0009499	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
4	Metachromatic leukodystrophy	MONDO:0018868	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
4	Metachromatic leukodystrophy	MONDO:0009591	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
5	Aicardi-Goutières syndrome	MONDO:0018866	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
6	L1 syndrome	MONDO:0017140	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
7	Vanishing White Matter disease	MONDO:0800448	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
8	SPG11-related hereditary spastic paraplegia	MONDO:0011445	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
9	Alexander disease	MONDO:0008752	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
10	Peroxisomal biogenesis disorders (Zellweger spectrum disorders)	MONDO:0019609	('OMIM:620655', 'Alfadhel syndrome')	0.0	False
