rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Rett Syndrome	MONDO:0010726	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
2	Cerebral Palsy	MONDO:0006497	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
3	Smith-Lemli-Opitz Syndrome	MONDO:0010035	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0007030	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0010589	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
4	Aarskog-Scott Syndrome	MONDO:0021005	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
5	Fragile X Syndrome	MONDO:0010383	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
6	Kallmann Syndrome	MONDO:0018800	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
7	Prader-Willi Syndrome	MONDO:0008300	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
8	Arthrogryposis Multiplex Congenita	MONDO:0007157	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
8	Arthrogryposis Multiplex Congenita	MONDO:0015168	('OMIM:614608', 'Coffin-Siris syndrome 3')	0.0	False
