rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Kabuki Syndrome	MONDO:0007843	('OMIM:148050', 'KBG syndrome')	0.0	False
1	Kabuki Syndrome	MONDO:0016512	('OMIM:148050', 'KBG syndrome')	0.0	False
2	Fetal Alcohol Spectrum Disorders	MONDO:0016011	('OMIM:148050', 'KBG syndrome')	0.0	False
2	Fetal Alcohol Spectrum Disorders	MONDO:0000408	('OMIM:148050', 'KBG syndrome')	0.0	False
3	Down Syndrome	MONDO:0008608	('OMIM:148050', 'KBG syndrome')	0.0	False
4	Noonan Syndrome	MONDO:0018997	('OMIM:148050', 'KBG syndrome')	0.0	False
4	Noonan Syndrome	MONDO:0008104	('OMIM:148050', 'KBG syndrome')	0.0	False
5	Fragile X Syndrome	MONDO:0010383	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Smith-Magenis Syndrome	MONDO:0008434	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Williams Syndrome	MONDO:0008678	('OMIM:148050', 'KBG syndrome')	0.0	False
