rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Down syndrome	MONDO:0008608	('OMIM:148050', 'KBG syndrome')	0.0	False
2	Rubinstein-Taybi syndrome	MONDO:0019188	('OMIM:148050', 'KBG syndrome')	0.0	False
3	Rett syndrome	MONDO:0010726	('OMIM:148050', 'KBG syndrome')	0.0	False
4	Turner syndrome	MONDO:0019499	('OMIM:148050', 'KBG syndrome')	0.0	False
5	Cornelia de Lange syndrome	MONDO:0016033	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Noonan syndrome	MONDO:0018997	('OMIM:148050', 'KBG syndrome')	0.0	False
6	Noonan syndrome	MONDO:0008104	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Kabuki syndrome	MONDO:0007843	('OMIM:148050', 'KBG syndrome')	0.0	False
7	Kabuki syndrome	MONDO:0016512	('OMIM:148050', 'KBG syndrome')	0.0	False
8	Fragile X syndrome	MONDO:0010383	('OMIM:148050', 'KBG syndrome')	0.0	False
