language	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n10p	nf	num_cases	grounding_failed
en	978	199	151	99	69	18	9	5	2	2	0	2683	4916	701
es	941	235	179	100	90	9	6	0	0	0	0	2865	4917	492
cs	880	211	149	82	66	4	3	1	0	0	0	2811	4891	684
tr	978	229	166	108	59	4	0	0	0	0	0	2877	4809	388
de	938	197	155	94	55	0	0	0	0	0	0	2909	4816	468
it	851	246	217	108	74	1	1	0	0	0	0	2955	4914	461
zh	909	268	161	43	19	1	0	0	0	0	0	3188	4911	322
nl	1006	197	154	101	45	0	0	0	0	0	0	3012	4894	379
ja	790	266	189	72	35	0	0	0	0	0	0	2672	4670	646
fr	918	256	164	88	80	10	3	5	0	0	0	2986	4912	402
