rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Spinal Muscular Atrophy (SMA)	MONDO:0001516	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
2	Congenital Myopathy	MONDO:0019952	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
3	Duchenne Muscular Dystrophy (DMD)	MONDO:0010679	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
4	Becker Muscular Dystrophy (BMD)	MONDO:0010311	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
5	Nemaline Myopathy	MONDO:0018958	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
6	Bethlem Myopathy	MONDO:0024530	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
6	Bethlem Myopathy	MONDO:0008029	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
7	Ullrich Congenital Muscular Dystrophy	MONDO:0009681	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
7	Ullrich Congenital Muscular Dystrophy	MONDO:0000355	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
8	Limb-Girdle Muscular Dystrophy (LGMD)	MONDO:0016971	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
9	Congenital Myasthenic Syndrome	MONDO:0018940	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.0	False
10	Congenital Muscular Dystrophy (CMD)	MONDO:0019950	('OMIM:613205', 'LMNA-related congenital muscular dystrophy')	0.5	True
