rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Sotos syndrome	MONDO:0019349	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
2	Pitt-Hopkins syndrome	MONDO:0012589	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
3	Wiedemann-Steiner syndrome	MONDO:0011518	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
4	Kleefstra syndrome	MONDO:0012455	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
4	Kleefstra syndrome	MONDO:0027407	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
5	Mowat-Wilson syndrome	MONDO:0009341	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
6	Cohen syndrome	MONDO:0008999	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
7	Kabuki syndrome	MONDO:0016512	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
7	Kabuki syndrome	MONDO:0007843	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
8	KBG syndrome	MONDO:0007846	('OMIM:618362', 'Coffin-Siris syndrome 8')	0.0	False
