rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Rett syndrome	MONDO:0010726	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
2	Dravet syndrome	MONDO:0100135	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
2	Dravet syndrome	MONDO:0100079	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
3	CDKL5 deficiency disorder	MONDO:0100039	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
4	Angelman syndrome	MONDO:0007113	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
5	Phelan-McDermid syndrome	MONDO:0011652	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
6	STXBP1-related disorders	N/A	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
7	SCN2A-related disorders	N/A	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
8	Tuberous sclerosis complex	MONDO:0001734	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
8	Tuberous sclerosis complex	MONDO:0008612	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
9	ARX-related disorders	N/A	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
10	FOXG1 syndrome	MONDO:0035383	('OMIM:612164', 'Developmental and epileptic encephalopathy 4')	0.0	False
