rank	disease_name	disease_identifier	correct_ID	grounded_score	is_correct
1	Limb-Girdle Muscular Dystrophy (LGMD)	MONDO:0016971	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.5	True
2	Pompe Disease	MONDO:0009290	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
3	Danon Disease	MONDO:0010281	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
4	Myotonic Dystrophy	MONDO:0008056	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
4	Myotonic Dystrophy	MONDO:0016107	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
5	Duchenne Muscular Dystrophy (female manifesting carrier)	MONDO:0016097	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
6	Becker Muscular Dystrophy (female manifesting carrier)	MONDO:0016097	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
7	Carnitine Palmitoyltransferase II Deficiency	MONDO:0015515	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
8	McArdle Disease (Glycogen Storage Disease Type V)	MONDO:0009293	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
9	Mitochondrial Myopathy	MONDO:0009637	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
10	Congenital Myopathy	MONDO:0019952	('OMIM:620375', 'Muscular dystrophy, limb-girdle, autosomal recessive 28')	0.0	False
